loss,params
"[11.676910297062419, 25.48952988068643, 11.79605478274859, 11.652733208167568, 13.260707664043354]","{'max_depth': 13.0, 'max_features': 'log2', 'min_samples_leaf': 5.0, 'min_samples_split': 5.0, 'n_estimators': 30.0}"
"[10.159996405453377, 24.88652325505041, 10.174444827649078, 10.099269742434466, 11.973769787187564]","{'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 3.0, 'min_samples_split': 10.0, 'n_estimators': 50.0}"
"[11.999717180645723, 25.700103985171538, 12.185241022071855, 12.020098677820256, 13.684200385375345]","{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 13.0, 'min_samples_split': 10.0, 'n_estimators': 50.0}"
"[13.212497292109763, 26.259793097530828, 13.372130954665108, 13.1723743947432, 14.687043931070072]","{'max_depth': 6.0, 'max_features': 'sqrt', 'min_samples_leaf': 7.0, 'min_samples_split': 3.0, 'n_estimators': 60.0}"
"[12.613743471982602, 25.949390680901374, 12.79892965430026, 12.62124635932808, 14.202485620218463]","{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 19.0, 'min_samples_split': 4.0, 'n_estimators': 80.0}"
"[12.158191582268786, 25.755855699022547, 12.315426035824203, 12.15821851893587, 13.749297091582903]","{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 14.0, 'min_samples_split': 15.0, 'n_estimators': 70.0}"
"[10.884172182416215, 25.192619822589915, 10.970870319184922, 10.836114653989073, 12.665380588295422]","{'max_depth': 21.0, 'max_features': 'auto', 'min_samples_leaf': 16.0, 'min_samples_split': 16.0, 'n_estimators': 80.0}"
"[11.737353041238277, 25.565258273464455, 11.850036304073832, 11.695275359076298, 13.37567417504072]","{'max_depth': 11.0, 'max_features': 'log2', 'min_samples_leaf': 4.0, 'min_samples_split': 16.0, 'n_estimators': 60.0}"
"[10.957291579015653, 25.20213555146061, 11.087041378537625, 10.912570526261549, 12.704564637894672]","{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 5.0, 'min_samples_split': 9.0, 'n_estimators': 90.0}"
"[10.893501252019616, 25.182267064160936, 10.955694800671516, 10.831701448194815, 12.67603012040469]","{'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 16.0, 'min_samples_split': 8.0, 'n_estimators': 70.0}"
